"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"LINC01140","BCK_eIF4E_KD_DSG_2020.csv~1.41","BCK_eIF4E_KD_DSG_2023.xlsx~1.812",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1206",NA
"KRIT1","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1210",NA
"KRIT1","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1211",NA
"KRIT1","BCK_eIF4E_KD_DSG_2020.csv~1.42",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.92",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1212",NA
"COPZ2","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1220",NA
"COPZ2","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1221",NA
"COPZ2","BCK_eIF4E_KD_DSG_2020.csv~1.43","BCK_eIF4E_KD_DSG_2023.xlsx~1.178",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1222",NA
"DPF1","BCK_eIF4E_KD_DSG_2020.csv~1.44",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.3651",NA,NA,NA,NA,NA,NA
"IFT88","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.318",NA
"IFT88","BCK_eIF4E_KD_DSG_2020.csv~1.45","BCK_eIF4E_KD_DSG_2023.xlsx~1.198","BCK_eIF4E_KD_DSG_2023.xlsx~2.99",NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1295",NA
